PortalID,GrantID,Status,LastUpdated,ChangeNotes,AgencyDept,Title,Type,LOI,Categories,CategorySuggestion,Purpose,Description,ApplicantType,ApplicantTypeNotes,Geography,FundingSource,FundingSourceNotes,MatchingFunds,MatchingFundsNotes,EstAvailFunds,EstAwards,EstAmounts,FundingMethod,FundingMethodNotes,OpenDate,ApplicationDeadline,AwardPeriod,ExpAwardDate,ElecSubmission,GrantURL,AgencyURL,AgencySubscribeURL,GrantEventsURL,ContactInfo,AwardStats
4516,,closed,"2020-11-19 23:09:25","Updated the URL for Full Grant Details.  Updated the Funding Method Notes for clarity.","Department of Fish and Wildlife","George H.W. Bush Vamos A Pescar™ Education Fund",Grant,No,"Disadvantaged Communities; Education; Environment & Water; Parks & Recreation",,"Pursuant to the George H. W. Bush Vamos A Pescar™ Educational Fund and Fish and Game Code Section 1501.5(b), the California Department of Fish and Wildlife has established a competitive grant program to fund projects that supports state and local efforts to educate and engage California’s Hispanic communities in metrocentric settings through bilingual, multigenerational, and multigendered programs, classes and fishing and boating activities.","Funds may be used for projects, including but not limited to experiential or hands-on fishing education, community activities promoting good fishery stewardship, technical fishing skills development, fishing-related workshops and classes, apprentice-level fishing trips with hands-on instruction, and other such events that promote recreational fishing in California.  Multiple bilingual events with the same audience must occur throughout the grant cyclein order for programs to be considered.  All events submitted as part of the grant application must:- be able to use in-person events and virtual platforms in conjunction with oneanother, as required by current local and state health and safety standards at thetime of each event. When virtual delivery cannot be utilized, COVID-19prevention measures must be followed and incorporated into events. Pleasenote: virtual delivery options do not eliminate the need for programs to focus onhands-on experiences. Creativity around the integration of virtual and hands-onlearning is encouraged.- begin no sooner than March 1, 2021 and conclude no later than November 1, 2021.Events planned before or after this date or reoccurring events that stretch beyondthese dates should not be included on the application.",Nonprofit,"To be eligible for grant funding from the competitive grant program, an applicant’sprograms shall be a registered 501(c)3.","Project activities must be conducted in California (out of state projects are not eligible).",Federal,,"Not Required","Funding for this Request for Proposal (RFP) is provided from the George H.W. Bush Vamos A Pescar™ Educational Fund with support from the United States Fish and Wildlife Services Sport Fish Restoration Act and the CDFW. ","$50,000","Dependant on number of submissions received, application process, etc.","Between $5,000 and $20,000",Reimbursement(s),"Grantor will reimburse Grant Funds to Grantee in arrears. Only Grantee expenditures that are necessary to implement the Project, comply with applicable federal and State of California law, and made in accordance as set forth within the Grant Agreement are eligible for reimbursement from the Grant Funds.  Grantee expenditures must be completed between March 1, 2021 and November 1, 2021 in order to be eligible for reimbursement.","2020-11-19 08:00:00","2020-12-09 17:00:00",3/01/2020-11/01/2021,"End of January 2021","email: jennifer.benedet@wildlife.ca.gov;",https://nrm.dfg.ca.gov/FileHandler.ashx?DocumentID=184629&inline,https://wildlife.ca.gov/Grants,,,"name: Peter Tira; email: peter.tira@wildlife.ca.gov; tel: 1-916-215-3858;","[{""fiscalYear"":""2020-2021"",""applicationsSubmitted"":""10""}]"
4495,,closed,"2022-03-09 01:28:07",.,"CA Department of Food and Agriculture","Pet Lover’s License Plate Grant Program",Grant,No,"Animal Services","Veterinary Medical/Animal Health","The California Department of Food and Agriculture (CDFA) is pleased to announce a competitive solicitation process to award up to $330,000 in funding under the California Pet Lover’s License Plate grant program to help stop pet overpopulation in California.","The purpose of this program is to help stop pet overpopulation in California by providing funds for spay/neuter services to municipalities and non‐profit organizations in California. The revenue received from the sale and renewal of the license plate is awarded annually through grant agreements to eligible organizations.    The grant duration is one (1) year from June 1, 2021 – May 31, 2022. Grant funds cannot be expended before June 1, 2021 or after May 31, 2022. Grant Awards will range from $5,000 to $50,000. However, CDFA reserves the right to offer an award different than the amount requested.     ","Nonprofit; Public Agency","Veterinary facilities registered and in good standing with the Veterinary Medical Board, overseen by responsible licensee manager licensed and in good standing with the Veterinary Medical Board, and operated by one of the following: a California city or county; city and county; an animal care or control agency; or a nonprofit meeting the requirements of Section 501(c)(3) that is registered and in good standing with the Secretary of State.",,State,"The Pet Lover's License Plate Grant program is authorized by SB 673.  This program is funded by fees associated with the original purchase, annual renewal, and conversion of Pet Lover’s license plates from the California Department of Motor Vehicles. 3","Not Required",,"$330,000","Dependant on number of submissions received, application process, etc.","Between $5,000 and $50,000",Reimbursement(s),,"2020-11-19 08:00:00","2020-12-18 17:00:00",06/01/21-05/31/22,"Spring 2021","email: grants@cdfa.ca.gov;",http://www.cdfa.ca.gov/SpayNeuter/,http://www.cdfa.ca.gov/,,,"email: grants@cdfa.ca.gov; tel: 1-916-657-3231;","[{""fiscalYear"":""2020-2021"",""applicationsSubmitted"":""49""}]"
4504,GFO-20-307,closed,"2022-02-28 23:41:07",,"CA Energy Commission","GFO-20-307 – Food Production Investment Program 2020",Grant,No,Energy,,"The goals of the program are to accelerate the adoption of advanced energy efficiency and renewable energy technologies at California food processing plants, demonstrate their reliability and effectiveness, help California food processors work towards a low carbon future, and benefit priority populations.","Food production costs generally tend to be higher in California than elsewhere and California’s food processing industry faces stiff out-of-state and international competition.    Providing support for updating and improving food production facilities with energy efficient and/or renewable energy technologies will reduce operating costs and greenhouse gas (GHG) emissions. This could help ensure California’s food processing industries remain competitive and operational, and the jobs associated with food production remain in California.    The California Energy Commission (Energy Commission) established the Food Production Investment Program (FPIP) in 2018, initially funded by Assembly Bill (AB) 109 (Ting, Chapter 249, Statutes of 2017), with additional funds from Senate Bill (SB) 856 (Chapter 30, Statutes of 2018).  Funding for the program comes from the California Climate Investments (CCI) program. The CCI program requires that all funded projects reduce GHG emissions and further the purposes of AB 32 (AB 32, Nunez, Global Warming Solutions Act of 2006, Chapter 488, 2006) and SB 32 (SB 32, Pavley, California Global Warming Solutions Act of 2006, Chapter 249, 2016).    The goals of the program are to accelerate the adoption of advanced energy efficiency and renewable energy technologies at California food processing plants, demonstrate their reliability and effectiveness, help California food processors work towards a low carbon future, and benefit priority populations. The technologies to be funded by this Grant Funding Opportunity (GFO) will help reduce energy costs, maintain product quantity and quality, and reduce GHG emissions associated with food production.    The FPIP is open to all California food processors.  All projects funded under FPIP must reduce GHG emissions and further the purposes of AB 32 and SB 32 and must be located at a food processing plant in California.",Business,"Applicants to the FPIP are limited to food processing facilities located in California. The applicant must own or operate one or more food processing facilities that is the site where installation of grant funded equipment will occur.","Applicants to the FPIP are limited to food processing facilities located in California. For the purpose of the FPIP, food processing facilities are those defined by the North American Industry Classification System (NAICS) codes 311 (Food Manufacturing) and 3121 (Beverage Manufacturing).",State,"The California Energy Commission established the Food Production Investment Program (FPIP) in 2018, initially funded by Assembly Bill (AB) 109 (Ting, Chapter 249, Statutes of 2017), with additional funds from Senate Bill (SB) 856 (Chapter 30, Statutes of 2018).  Funding for the program comes from the California Climate Investments (CCI) program.",35%,"Under Tier I, eligible costs for grant funding are limited to the cost of equipment that will result in reductions of GHG emissions and any M&V required for validation of GHG emissions reduction. Tier I projects can receive grants up to 65 percent of the eligible costs and require a 35 percent match of eligible costs from the applicant or other sources as described later in this section.","$7,000,000","Dependant on number of submissions received, application process, etc.","Dependant on number of submissions received, application process, etc.",Reimbursement(s),"Funds are disbursed on a reimbursement basis (where the Recipient spends out-of-pocket and is reimbursed by the grantor).","2020-11-18 08:00:00","2021-02-05 17:00:00","Until funds expire ","Week of 3/22/2021","url: https://gss.energy.ca.gov/Login.aspx;",https://www.energy.ca.gov/,https://www.energy.ca.gov/,https://www.energy.ca.gov/,https://www.energy.ca.gov/,"name: Angela Hockaday; email: Angela.Hockaday@energy.ca.gov; tel: 1-916-654-5186;","[{""fiscalYear"":""2020-2021"",""applicationsSubmitted"":""8""}]"
4486,,closed,"2020-11-13 21:32:44",,"Department of Fish and Wildlife","California State Duck Stamp Project",Grant,No,"Environment & Water",,"The goals of the Stamp Project, as described in legislation, are to protect, preserve, restore, enhance, and develop migratory waterfowl breeding and wintering habitat, evaluate habitat projects, and conduct waterfowl resource assessments and other waterfowl related research. To achieve these goals the Department has adopted the following four objectives:    Identify activities which are needed for the conservation and maintenance of California's waterfowl habitat on public land.  Develop and fund project-specific strategies to protect, enhance, maintain or restore significant waterfowl habitat on public land.  Develop and fund project-specific strategies to conserve waterfowl populations.  Develop, administer, and fund a grants program for waterfowl conservation.","The California State Duck Stamp (Stamp Project) was created by legislation in 1971 (Fish and Game Code §3702). The stamp is required when hunting waterfowl and purchased by stamp collectors. All funds generated by the sale of stamps are deposited in the State Duck Stamp Account, administered by the California Department of Fish and Wildlife (Department). The funds can only be used for projects approved by the Fish and Game Commission (Commission) for the purpose of protecting, preserving, restoring, enhancing, and developing migratory waterfowl breeding and wintering habitat, evaluating habitat projects, and conducting waterfowl resource assessments and other waterfowl related research. These funds also may be used to reimburse nonprofit organizations for completed habitat projects.  During winter, wetlands and agricultural habitats in California, especially the Central Valley, support the largest single concentration of waterfowl (currently three to four million) in North America. This concentration represents more than 60 percent of all waterfowl wintering in the Pacific Flyway and more than 20 percent of all waterfowl wintering in North America. These birds are almost entirely dependent on water and habitat provided through human activities due to the significant loss of wetlands in California.  The goals of the Stamp Project, as described in legislation, are to protect, preserve, restore, enhance, and develop migratory waterfowl breeding and wintering habitat, evaluate habitat projects, and conduct waterfowl resource assessments and other waterfowl related research. To achieve these goals the Department has adopted the following four objectives:  1.     Identify activities which are needed for the conservation and maintenance of California's waterfowl habitat on public land.  2.     Develop and fund project-specific strategies to protect, enhance, maintain or restore significant waterfowl habitat on public land.  3.     Develop and fund project-specific strategies to conserve waterfowl populations.  4.     Develop, administer, and fund a grants program for waterfowl conservation.  To accomplish the objectives, the Department is authorized to award grants (and contracts where necessary) for waterfowl conservation purposes (acquisition, restoration, enhancement, creation and research) to nonprofit organizations, local government agencies, state departments and federal agencies (Fish and Game Code § 3702). The organizations must have the specific capacity (waterfowl habitat enhancement, restoration, creation and or research experience to deliver the objectives).  Examples of eligible projects include, but are not limited to:  ·       Enhance/restore/maintain wintering or nesting habitat for CA waterfowl species  ·       Restoring or creating brood ponds/summer water for CA waterfowl species  ·       Enhancing or restoring fall and spring use areas for CA waterfowl species  ·       Establishing islands and loafing bars  ·       Levee repair, replacement of water control structures, pump repair and installation  ·       Fence installation to control and/or manage livestock or wildlife and/or to enhance upland habitat for waterfowl nesting and goose forage  ·       Removal of nonnative invasive plant species and restoration (active or passive) of native and other desirable wetland or upland vegetation  ·       Research to obtain population parameters of species/subspecies/population  Investigations of limited resources for specific species or subspecies such as eelgrass for Black brant   ","Nonprofit; Public Agency","To accomplish the objectives, the Department is authorized to award grants (and contracts where necessary) for waterfowl conservation purposes (acquisition, restoration, enhancement, creation and research) to nonprofit organizations, local government agencies, state departments and federal agencies (Fish and Game Code § 3702). The organizations must have the specific capacity (waterfowl habitat enhancement, restoration, creation and or research experience to deliver the objectives).",,State,"The Stamp Project is funded by State Duck Stamp sales (Fish and Game Code § 3702). This program requires a maximum of 6 percent overhead (Fish and Game Code § 3701).","Not Required",,"$1,135,000","Dependant on number of submissions received, application process, etc.","Dependant on number of submissions received, application process, etc.",Reimbursement(s),"Grants and contracts.","2020-11-16 16:00:00","2021-01-22 17:00:00","Fall 2021-April 2024","Late June 2021","email: wildlifemgt@wildlife.ca.gov;",http://nrm.dfg.ca.gov/FileHandler.ashx?DocumentID=184695,https://wildlife.ca.gov/Grants/Duck-Stamp,,,"email: Melanie.Weaver@wildlife.ca.gov; tel: 1-916-502-1139;","[{""fiscalYear"":""2020-2021"",""applicationsSubmitted"":""16""}]"
4220,,closed,"2022-02-28 23:32:36","Changed from Forecasted to Active Grant.","Department of Water Resources","Sustainable Groundwater Management (SGM) Grant Program’s Proposition 68 Implementation Round 1",Grant,No,"Disadvantaged Communities; Environment & Water","Sustainable Groundwater Management Act; Groundwater Sustainability Plan Implementation","The SGM Grant Program’s Implementation grants will utilize funds authorized by Proposition 68 to assist Groundwater Sustainability Agencies (GSAs) implement their Groundwater Sustainability Plans (GSPs). The program will provide financial assistance to GSAs for investments in groundwater recharge and projects that prevent or clean up contamination of a groundwater that serves as a source of drinking water.","Prop 68 authorizes the Legislature to appropriate a total of $240 million to DWR for drought and groundwater investments to achieve regional sustainability. Of this, at least $120 million is for drought and groundwater investments to achieve regional sustainability through investments in groundwater recharge with surface water, stormwater, recycled water, and other conjunctive use projects, and projects to prevent or clean up contamination of groundwater that serves as a source of drinking water (Public Resources Code § 80146(a)). After program delivery and bond issuance costs, at least $103 million will be made available for grant awards broken up into two rounds of grant solicitations. Round 1 will include $26 million for grant awards to critically overdrafted (COD) basins only. $5 million of the $26 million available in Round 1 will be for projects that solely benefit Underrepresented Communities. DWR will solicit proposals to award funding on a competitive basis for tasks and activities that help the basins reach sustainability through investments in groundwater recharge and/or projects that prevent or clean up contamination of a groundwater that serves as a source of drinking water. Eligible projects include those activities associated with the implementation of an adopted GSP or approved Alternative and must also be listed within an adopted GSP or approved Alternative. Eligible applicants for the Round 1 Implementation Grant Solicitation are GSAs; member agencies of GSAs; an entity that represents a GSA(s) which can include public agencies, non-profit organizations, public utilities, Federally recognized Indian Tribes, State Indian Tribes listed on the Native American Heritage Commission’s Tribal Consultation list, or mutual water companies; and agencies with an approved Alternative to a GSP. Those entities representing a GSA(s) must have a letter of support from each GSA they represent. All Round 1 applicants must be within a COD basin with an adopted GSP that has been submitted to DWR for review and deemed complete by DWR or approved Alternative to a GSP. Basins that are adjudicated, in the process of becoming adjudicated, or considered probationary under SGMA by the State Water Resources Control Board at or after the time of application submittal are not eligible to apply for or receive grant funding. The project area and service area must be within the most current DWR Bulletin 118 basin or a non-adjudicated portion of a basin that is designated as COD by the latest SGMA Basin Prioritization at the time of application submittal. Only one application will be accepted per basin. Applicants who apply on behalf of a GSA(s) are required to obtain and submit a letter of support from each GSA they represent. The application process, application review process, schedule, program preferences, and definitions are outlined within the PSP. Applicants will apply through DWRs GRanTs portal and must follow the requirements established in the PSP. We recommend interested parties to review the 2019 SGM Grant Program Guidelines and the 2020 Implementation PSP for all details. They can be found on our website at: www.water.ca.gov/sgmgrants","Nonprofit; Public Agency","Any applicant that is not a GSA, member agency of a GSA, or an agency with an approved Alternative to a GSP MUST provide letters of support indicating that they are applying on their behalf and that the work proposed is fully supported by the GSA they represent.","The Implementation Round 1 grant solicitation is solely for critically overdrafted (COD) basins that are NOT adjudicated, seeking adjudication, or are listed as probationary by the State Water Resources Control Board.",State,"Proposition 68, Chapter 11.6",25%,"There is a match reduction or match waiver described in the Proposal Solicitation Package and the reduction or waiver is dependent upon whether the project is located within and solely benefits an underrepresented community.","$26,000,000","Dependant on number of submissions received, application process, etc.","Between $2,000,000 and $5,000,000",Reimbursement(s),"Funding is provided in arrears as reimbursement and can only invoice on a calendar quarter.","2020-11-09 08:00:00","2021-01-08 17:00:00",11/09/20-1/8/21,05/15/2021,"url: https://water.ca.gov/Work-With-Us/Grants-And-Loans/GRanTS;",https://water.ca.gov/sgmgrants,https://water.ca.gov/sgmgrants,https://listservice.cnra.ca.gov/scripts/wa.exe?SUBED1=DWR_SGWP_INFO&A=1,https://water.ca.gov/sgmgrants,"email: sgwp@water.ca.gov; tel: 1-916-651-9613;","[{""fiscalYear"":""2020-2021"",""applicationsSubmitted"":""15""}]"
3441,FR72,closed,"2020-08-17 17:12:24",,"Department of Resources Recycling and Recovery","Farm and Ranch Solid Waste Cleanup and Abatement Grant Program (FY 2020-21) 3rd Cycle",Grant,Yes,"Environment & Water",,"Funding is primarily used to pay for the removal and proper disposal of small nuisance illegal dump sites, including, but not limited to, non-hazardous solid waste, tires, incidental amounts of household hazardous materials, and for site security measures to prevent the recurrence of illegal disposal after the projects are completed. Currently, the Program offers three cycles each fiscal year.","Project Types  1. Requesting funds for a site yet to be cleaned up (“standard”)2. Requesting funds for a “previously remediated site”  Funding  1. $1,000,000 is available for fiscal year 2020–21, subject to funding availability.2. $200,000 is the maximum available for each applicant per fiscal year.a. Two or more departments or agencies within a specific city or county are eligible for a combined total of $200,000 per fiscal year.b. An incorporated city, a resource conservation district and the county within which they are located are each eligible for up to $200,000 of grant funds each fiscal year.3. Each site is limited to $50,000.a. Sites are referred to as single cleanups or abatements projects, and usually entail a large concentration of illegally dumped material in a single area. There can be multiple piles on one area/site.b. Multiple sites may be included in one application.  Resolution required.  See https://www.calrecycle.ca.gov/lea/grantsloans/farmranch/fy202021 for eligible costs and additional grant specific information.","Public Agency; Tribal Government","Eligible applicants include: • Cities• Counties• Resource Conservation Districts• Federally Recognized Native American Tribes [as defined in PRC Section 48100(d)(1)]","The parcel where the site is located is zoned or authorized for agricultural/rangeland use, consistent w/the definition of Farm & Ranch Property. The site is used, has been used, or could be used for agricultural/rangeland activities. The site is or was (for sites previously remediated) an illegal disposal site.",State,"Applicants may apply for up to $200,000 per fiscal year, and funding for each eligible site shall not exceed $50,000.","Not Required",,"$1,000,000","Dependant on number of submissions received, application process, etc.","Between $50,000 and $200,000",Reimbursement(s),"Applicants may apply for up to $200,000 per fiscal year, and funding for each eligible site shall not exceed $50,000. Grantees may not expend more than seven percent (7%) of the grant funds for administrative costs.","2020-11-06 08:00:00","2021-02-04 23:59:00","April 2021-3/16/23","April 2021","url: https://secure.calrecycle.ca.gov/Grants;",https://www.calrecycle.ca.gov/lea/grantsloans/farmranch/fy202021,https://www.calrecycle.ca.gov/Funding/,,,"name: Stephanie Becker; email: Stephanie.Becker@calrecycle.ca.gov; tel: 1-916-341-6484;","[{""fiscalYear"":""2020-2021"",""applicationsSubmitted"":""7""}]"
4396,,closed,"2021-01-12 19:20:53","Correcting error; closed date was 12/14/2020","Coachella Valley Mountains Conservancy","Proposition 1 Grant Program",Grant,Yes,"Disadvantaged Communities; Environment & Water",,"Implement the California Water Action Plan in the Coachella Valley","The Conservancy board has identified three priority areas for funding:   watershed land acquisition, watershed or endangered species habitat restoration, or infrastructure that improves water management in a manner that complements surrounding habitat values.  Projects that serve economically disadvantaged communities receive additional points in the competitive scoring process.  Applicants are required to participate in a pre application consultation meeting that begins with submission of a short pre proposal on a form available from the Conservancy.  Once that consultation is completed, the applicant must submit a project narrative and application as described more particularly in the grant program guidelines available on the Conservancy's website.   ","Nonprofit; Public Agency; Tribal Government",,"Within the Coachella Valley or in the surrounding mountains.",State,"Proposition 1, the Water Quality, Supply, and Infrastructure Improvement Act of 2014","Not Required","While not required, matching or leveraged funds will improve the project's point score in the competitive process.","$2,800,000","Dependant on number of submissions received, application process, etc.","Dependant on number of submissions received, application process, etc.",Reimbursement(s),"Funding is on a reimbursement basis only.","2020-11-03 08:00:00","2020-12-14 17:00:00","3 years.","January 11, 2021","email: drosas@cvmc.ca.gov;",http://www.cvmc.ca.gov,http://www.cvmc.ca.gov,,,"name: Diana Rosas; email: drosas@cvmc.ca.gov; tel: 1-760-776-5026;","[{""fiscalYear"":""2020-2021"",""applicationsSubmitted"":""3""}]"
4369,,closed,"2022-03-02 22:40:05",,"Employment Development Department","Disability Employment Accelerator Grant",Grant,No,"Disadvantaged Communities; Employment, Labor & Training",,"The goal of this initiative is to promote the use of regional industry-sector strategies as the framework to help unemployed and underemployed People with Disabilities (PWD) obtain and retain competitive, integrated employment. The DEA 2020-21 will continue to focus on creating linkages and engaging businesses to develop work-based learning programs for PWD with significant barriers to employment.","The Employment Development Department (EDD), in coordination with the California Workforce Development Board (CWDB) and the California Labor and Workforce Development Agency (LWDA), announces the availability of up to $2 million in Workforce Innovation and Opportunity Act (WIOA) Governor’s Discretionary funds for the DEA Program Year (PY) 2020-21 grant. The DEA grants are awarded to design, develop, and implement projects that accelerate employment and re-employment strategies for people with disabilities (PWD).    The primary goals of the grant are to increase access to career pathways programs and to help those with significant barriers to employment enter into the workforce in skilled occupations. Grant funds will support projects that increase access for PWD, align WIOA programs, implement co-enrollment strategies, leverage other program funding, provide supportive services, and create onramps to career pathways for California’s PWD. Co-enrollment may include enrollment in WIOA Title I Adult, Title II Adult Education, Title III Wagner-Peyser, or other WIOA unified plan programs. Pathways to careers may include onramps into existing career technical education pathways or apprenticeship programs or the establishment of pre-apprenticeship programs, paid work education experience (PWEX), other work-based learning (WBL) opportunities for PWD. The selected projects are expected to work in collaboration with the following required partners: (1) Title I Local Workforce Development Board/One Stop Operator and (2) Local EDD/Wagner-Peyser Program staff. It is strongly encouraged that applicants work in collaboration with Disabled Student Programs and Services (DSPS) departments.     ","Business; Nonprofit; Public Agency","Eligible applicants are Local Workforce Development Areas, education and training providers, private non-profit organizations, private for-profit organizations, and faith and/or community-based organizations. Individuals are not eligible to apply.",,Federal,"Workforce Innovation and Opportunity Act (WIOA) funds",40%,"Applicants are required to demonstrate a minimum 40 percent match in relation to total requested funds. Match resources can be leveraged from a variety of sources, including, but not limited to, businesses, industry associations, labor organizations, community-based organizations, education and training providers, and/or federal, state, and local government programs.","$2,000,000","Between 5 and 7","Between $200,000 and $350,000",Reimbursement(s),,"2020-11-02 18:30:00","2020-12-16 15:00:00","18-24 months","March 2021","email: WSBSFP2@edd.ca.gov;",https://www.edd.ca.gov/Jobs_and_Training/WDSFP_Workforce_Development_Solicitations_for_Proposals.htm,https://edd.ca.gov/,https://edd.ca.gov/about_edd/Get_Email_Notices.htm,https://www.edd.ca.gov/jobs_and_training/pubs/wsin20-24.pdf,"email: WSBSFP2@edd.ca.gov; tel: 1-916-654-7799;","[{""fiscalYear"":""2020-2021"",""applicationsSubmitted"":""8""}]"
4399,,active,"2022-06-13 21:59:08","Rolling deadline, so changed due date","Coastal Conservancy","Proposition 68 San Francisco Bay Area Conservancy Program Climate Adaptation Funds",Grant,No,"Environment & Water",,"This grant round will award competitive grants for projects that plan, develop, and implement climate adaption and resiliency projects in the San Francisco Bay.","Eligible projects will be consistent with the Conservancy’s Strategic Plan and will plan, develop, or implement actions to help natural resources or human communities adapt to the impacts of climate change. Eligible projects shall improve a community’s ability to adapt to the unavoidable impacts of climate change; improve and protect coastal and rural economies, agricultural viability, wildlife corridors, or habitat; develop future recreational opportunities; or enhance drought tolerance, landscape resilience, and water retention. Projects could include, for example, land conservation for wildlife corridors, enhancement of bay area agriculture to increase carbon sequestration or protect farmworkers from extreme heat, or urban greening. Projects that use natural infrastructure and provide multiple benefits will be prioritized.    Tidal wetlands restoration projects will not be considered under this round, as there are ongoing funding sources at this time that are specifically for baylands restoration (for example, see the San Francisco Bay Restoration Authority grant opportunities ;applications accepted in the fall of each year). Other sea level rise adaptation projects (including subtidal, intertidal, upland transition zones) will be eligible.    Project Type: Projects must be one of the following types:• Project planning and design: Actions that will lead to construction, such as environmental review and permitting, development of engineered designs.• Project implementation: On-the-ground construction or installation.• Project development: Technical assistance for disadvantaged communities* and support for activities that will help identify specific solutions and projects. Technical assistance refers to the process of providing necessary education and resources for project scoping and development and project implementation assistance. Examples of such activities include:o Educationo Resource sharingo Convening of partners and stakeholders for project scoping and developmento Technical workshopso Community visioning meetingso Contracting with expert consultants to identify or refine potential capital projects    * Per Prop 68, a “disadvantaged community” means a community with a median household income less than 80 percent of the statewide average.    All Prop 68 funds must be spent consistent with the provisions of the General Obligation Bond Law, including Government Code Section 16727. In general, this means projects must entail the planning, development, construction, or acquisition of capital assets and/or activities that are incidentally but directly related to construction or acquisition, such as planning, design, and engineering. Capital assets are tangible physical property acquisitions or improvements with a useful life of at least 15 years. These grant funds cannot pay for activities that exclusively involve communication, policy development, or government services.    Projects must be located within one of the nine counties of the San Francisco Bay Area.","Nonprofit; Public Agency; Tribal Government",,"Projects must be located within one of the nine counties of the San Francisco Bay Area.",State,,"Not Required",,"$5,700,000","Dependant on number of submissions received, application process, etc.","Dependant on number of submissions received, application process, etc.",Reimbursement(s),,"2020-11-02 08:00:00",Ongoing,TBC,TBC,"email: grants@scc.ca.gov;",http://scc.ca.gov/files/2020/11/RFP_Prop68_SFBayClimate_2020.11.02_Final.pdf,https://scc.ca.gov/,https://visitor.r20.constantcontact.com/manage/optin?v=001EHs8nXD-JT8SCw1gPoGpjV608p0hjBEAmzGuKpDi0OGG2OaVS_l2d54eRfvLaLDst7t42OwLOBQjUgE6NGSzXpM4BjrurXZG3PHUIN0-p24,https://scc.ca.gov/,"name: Moira McEnespy; email: moira.mcenespy@scc.ca.gov; tel: 1-510-286-1015;","[{""fiscalYear"":""2023-2024"",""applicationsSubmitted"":0,""grantsAwarded"":0},{""fiscalYear"":""2021-2022"",""applicationsSubmitted"":7,""grantsAwarded"":0}]"
1137,,closed,"2020-10-28 20:15:44","Edit grant open date.","Wildlife Conservation Board","2020 Pacific Flyway Conservation Proposal Solicitation Notice",Grant,Yes,"Disadvantaged Communities; Environment & Water",,"The Wildlife Conservation Board (WCB) is inviting grant proposals for multi-benefit climate adaptation and resiliency projects that protect, restore or enhance migratory bird habitat associated with the Pacific Flyway.  These projects should seek to protect, restore or enhance migratory bird habitat, improve migratory bird habitat diversity, quality and connectivity, or improve management and ecological function of migratory bird habitat.","The WCB is an independent state board with the authority to carry out programs that benefit wildlife conservation in California (California Fish and Game Code 1300, et seq.).  WCB’s three main conservation functions are land acquisition, habitat restoration, and development of wildlife-oriented public access facilities.  WCB promotes this work through many conservation programs.  In June 2018, voters passed the California Drought, Water, Parks, Climate, Coastal Protection, and Outdoor Access for All Act of 2018 (Proposition 68) which identified a need for climate adaptation and resiliency projects.  Among other things, Proposition 68 made available not less than $20 million for WCB to advance “…the acquisition, development, rehabilitation, restoration, protection, and expansion of wildlife corridors and open space to improve connectivity and reduce barriers between habitat areas and to protect and restore habitat associated with the Pacific Flyway.” (PRC 80132c).","Nonprofit; Public Agency; Tribal Government","Nonprofit organizations and public agencies (state, local and federal) are eligible to submit grant proposals in response to this PSN.","Projects should be consistent with and seek to implement habitat and/or species conservation objectives of one of the five North American Migratory Bird Joint Ventures located within the State of California.",State,"Proposition 68 (2018) made available not less than $20 million for WCB to advance “…the acquisition, development, rehabilitation, restoration, protection, and expansion of wildlife corridors and open space to improve connectivity and reduce barriers between habitat areas and to protect and restore habitat associated with the Pacific Flyway.” (PRC 80132c).","Not Required","Cost share is the portion of the project cost not funded by the WCB and is provided by the applicant and/or other sources (private companies, NGO's, public agencies, and/or other entities).  A list of all cost share sources must be detailed in the budget worksheets.  Proposals with higher proportions of secured cost share contribution towards total project cost will score more points through the “Cost Share” proposal evaluation criterion.","$12,000,000","Dependant on number of submissions received, application process, etc.","Dependant on number of submissions received, application process, etc.","Advances & Reimbursement(s)","Projects located within a DAC may qualify for 25% Advanced Funding, all other projects will be reimbursed in arrears.","2020-10-29 07:00:00","2020-12-16 00:00:00","3 years","May 1, 2021","url: https://wcb.ca.gov/Programs/Wetlands/App;",https://wcb.ca.gov/Grants,https://wcb.ca.gov/,https://wcb.ca.gov/Subscribe,https://wcb.ca.gov/Grants,"name: WCBFlyway@wildlife.ca.gov; email: James.Croft@wildlife.ca.gov; tel: 1-916-926-7523;","[{""fiscalYear"":""2020-2021"",""applicationsSubmitted"":""71""}]"
